Category;Name;Value
Player;amountOfBonesCollected;576
Player;distanceTravelled;471845.281
Player;sanityLost;56157.16
Player;sanityGained;3816.39819
Player;phrasesRecognized;121
Player;timeSpentInvestigating;463377.7
Player;timeSpentInDark;278026
Player;timeSpentInLight;153393.984
Player;timeSpentInTruck;42982.5078
Player;timeSpentInGhostsRoom;142503.313
Player;timeSpentBeingChased;8328.686
Player;ghostsRepelled;799
Player;photosTaken;434
Player;videosTaken;118
Player;soundsTaken;1510
Player;diedAmount;204
Player;revivedAmount;2
Player;moneyEarned;925720
Player;moneySpent;657170
Player;itemsBought;1828
Player;itemsLost;1128
Player;ghostsIdentifiedAmount;556
Player;ghostsMisidentifiedAmount;193
Player;objectivesCompleted;2197
Player;amountOfCursedPossessionsUsed;47
Player;amountOfCursedHuntsTriggered;26
Ghost;ghostDistanceTravelled;269457.75
Ghost;amountOfGhostInteractions;40353
Ghost;doorsMoved;6408
Ghost;objectsUsed;2116
Ghost;lightsSwitched;607
Ghost;fuseboxToggles;314
Ghost;amountOfGhostEvents;1819
Ghost;abilitiesUsed;1522
Ghost;roomChanged;480
Ghost;timeInFavouriteRoom;360800.281
Ghost;amountOfGhostHunts;1311
Ghost;totalHuntTime;43764.87
Maps;Sunny Meadows Restricted;660
Maps;Grafton Farmhouse;2
Maps;Camp Woodwind;67
Maps;Bleasdale Farmhouse;4
Maps;13 Willow Street;3
Maps;6 Tanglewood Drive;5
Maps;Asylum;1
Maps;10 Ridgeview Court;1
Maps;Point Hope;5
Maps;Prison;1
GhostKills;Mimic;4
GhostKills;Revenant;12
GhostKills;Thaye;4
GhostKills;Phantom;10
GhostKills;Yokai;11
GhostKills;Yurei;12
GhostKills;Poltergeist;10
GhostKills;Moroi;13
GhostKills;Spirit;4
GhostKills;Myling;6
GhostKills;Banshee;9
GhostKills;Oni;6
GhostKills;Wraith;9
GhostKills;Shade;5
GhostKills;Obake;9
GhostKills;Hantu;11
GhostKills;Raiju;8
GhostKills;Deogen;4
GhostKills;Onryo;14
GhostKills;Goryo;5
GhostKills;Jinn;11
GhostKills;Mare;5
GhostKills;TheTwins;9
GhostKills;Demon;13
GhostEncounters;Mimic;33
GhostEncounters;Revenant;31
GhostEncounters;Thaye;39
GhostEncounters;Phantom;32
GhostEncounters;Yokai;32
GhostEncounters;Yurei;39
GhostEncounters;Poltergeist;21
GhostEncounters;Moroi;34
GhostEncounters;Spirit;24
GhostEncounters;Myling;19
GhostEncounters;Banshee;36
GhostEncounters;Oni;29
GhostEncounters;Wraith;35
GhostEncounters;Shade;23
GhostEncounters;Obake;34
GhostEncounters;Hantu;25
GhostEncounters;Raiju;31
GhostEncounters;Deogen;40
GhostEncounters;Onryo;32
GhostEncounters;Goryo;32
GhostEncounters;Jinn;35
GhostEncounters;Mare;29
GhostEncounters;TheTwins;35
GhostEncounters;Demon;29
Bones;Fibula;54
Bones;Radius;38
Bones;Ribcage;46
Bones;Scapula;38
Bones;Femur;41
Bones;Pelvis;49
Bones;Skull;40
Bones;Jaw;45
Bones;Humerus;50
Bones;Ulna;44
Bones;Hand;35
Bones;Foot;52
Bones;Spine;49
CursedObjects;MusicBoxesFound;32
CursedObjects;MonkeyPawFound;38
CursedObjects;MirrorsFound;67
CursedObjects;SummoningCirclesUsed;10
CursedObjects;VoodoosFound;63
CursedObjects;OuijasFound;42
Tarot;TotalCardsDrawn;83
Tarot;TarotWheel;19
Tarot;TarotDeath;11
Tarot;TarotTower;15
Tarot;TarotFool;14
Tarot;TarotHangedMan;2
Tarot;TarotHermit;9
Tarot;TarotDevil;4
Tarot;TarotMoon;6
Tarot;TarotSun;2
Tarot;TarotPriestess;1
